配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,queue_MB均值,queue_MB峰值,完成时间
4,2,4096K,duet_same,duet_same(16777216),3,7.282GB/s,2115.73,266,14.09,16.91,2026年 05月 21日 星期四 00:25:13 CST
4,2,4096K,duet_same,duet_same(8388608),3,7.290GB/s,1000.57,268,6.68,8.52,2026年 05月 21日 星期四 00:26:14 CST
4,2,4096K,duet_same,duet_same(4194304),3,7.226GB/s,434.66,271,2.48,4.33,2026年 05月 21日 星期四 00:27:15 CST
4,2,4096K,duet_same,duet_same(2097152),3,6.565GB/s,271.56,271,1.1,2.23,2026年 05月 21日 星期四 00:28:16 CST
4,2,4096K,duet_same,duet_same(1048576),3,5.681GB/s,200.92,271,0.73,1.18,2026年 05月 21日 星期四 00:29:17 CST
4,2,4096K,duet_dual,duet_dual(2097152/1048576),3,6.528GB/s,175.88,271,1.15,2.23,2026年 05月 21日 星期四 00:30:18 CST
4,2,4096K,duet_dual,duet_dual(2097152/524288),3,6.442GB/s,118.41,273,1.23,2.23,2026年 05月 21日 星期四 00:31:19 CST
4,2,4096K,duet_dual,duet_dual(2097152/262144),3,6.478GB/s,106.23,274,0.89,2.23,2026年 05月 21日 星期四 00:32:20 CST
5,2,4K,none,none,1,2.006GB/s,37.78,275,N/A,N/A,2026年 05月 21日 星期四 00:33:12 CST
5,2,4K,bfq,bfq,1,1.730GB/s,43.03,275,0.02,0.03,2026年 05月 21日 星期四 00:33:54 CST
5,2,4K,duet_same,duet_same(16777216),1,1.729GB/s,43.36,275,0.02,0.03,2026年 05月 21日 星期四 00:34:55 CST
5,2,4K,duet_same,duet_same(8388608),1,1.721GB/s,45.55,275,0.02,0.03,2026年 05月 21日 星期四 00:35:56 CST
5,2,4K,duet_same,duet_same(4194304),1,1.717GB/s,43.09,275,0.02,0.03,2026年 05月 21日 星期四 00:36:57 CST
5,2,4K,duet_same,duet_same(2097152),1,1.718GB/s,42.99,275,0.02,0.03,2026年 05月 21日 星期四 00:37:58 CST
5,2,4K,duet_same,duet_same(1048576),1,1.721GB/s,43.44,275,0.02,0.03,2026年 05月 21日 星期四 00:38:59 CST
5,2,4K,duet_dual,duet_dual(2097152/1048576),1,1.715GB/s,42.95,275,0.02,0.03,2026年 05月 21日 星期四 00:39:59 CST
5,2,4K,duet_dual,duet_dual(2097152/524288),1,1.721GB/s,49.84,275,0.02,0.03,2026年 05月 21日 星期四 00:41:00 CST
5,2,4K,duet_dual,duet_dual(2097152/262144),1,1.719GB/s,44.03,275,0.02,0.03,2026年 05月 21日 星期四 00:42:01 CST
5,2,4K,none,none,2,2.005GB/s,36.47,275,N/A,N/A,2026年 05月 21日 星期四 00:42:48 CST
5,2,4K,bfq,bfq,2,1.717GB/s,45.51,275,0.02,0.03,2026年 05月 21日 星期四 00:43:30 CST
5,2,4K,duet_same,duet_same(16777216),2,1.721GB/s,43.05,275,0.02,0.03,2026年 05月 21日 星期四 00:44:31 CST
5,2,4K,duet_same,duet_same(8388608),2,1.727GB/s,43.71,275,0.02,0.03,2026年 05月 21日 星期四 00:45:32 CST
5,2,4K,duet_same,duet_same(4194304),2,1.714GB/s,43.64,275,0.02,0.03,2026年 05月 21日 星期四 00:46:33 CST
5,2,4K,duet_same,duet_same(2097152),2,1.720GB/s,43.12,275,0.02,0.03,2026年 05月 21日 星期四 00:47:34 CST
5,2,4K,duet_same,duet_same(1048576),2,1.723GB/s,43.07,275,0.02,0.03,2026年 05月 21日 星期四 00:48:35 CST
5,2,4K,duet_dual,duet_dual(2097152/1048576),2,1.727GB/s,43.25,275,0.02,0.03,2026年 05月 21日 星期四 00:49:36 CST
5,2,4K,duet_dual,duet_dual(2097152/524288),2,1.715GB/s,42.91,275,0.02,0.03,2026年 05月 21日 星期四 00:50:36 CST
5,2,4K,duet_dual,duet_dual(2097152/262144),2,1.720GB/s,43.14,275,0.02,0.03,2026年 05月 21日 星期四 00:51:37 CST
5,2,4K,none,none,3,2.012GB/s,37.27,275,N/A,N/A,2026年 05月 21日 星期四 00:52:24 CST
5,2,4K,bfq,bfq,3,1.722GB/s,43.11,275,0.02,0.03,2026年 05月 21日 星期四 00:53:06 CST
5,2,4K,duet_same,duet_same(16777216),3,1.721GB/s,42.79,275,0.02,0.03,2026年 05月 21日 星期四 00:54:07 CST
5,2,4K,duet_same,duet_same(8388608),3,1.723GB/s,42.93,275,0.02,0.03,2026年 05月 21日 星期四 00:55:08 CST
5,2,4K,duet_same,duet_same(4194304),3,1.715GB/s,42.94,275,0.02,0.03,2026年 05月 21日 星期四 00:56:09 CST
5,2,4K,duet_same,duet_same(2097152),3,1.725GB/s,44.12,275,0.02,0.03,2026年 05月 21日 星期四 00:57:10 CST
5,2,4K,duet_same,duet_same(1048576),3,1.728GB/s,43.04,275,0.02,0.03,2026年 05月 21日 星期四 00:58:11 CST
5,2,4K,duet_dual,duet_dual(2097152/1048576),3,1.717GB/s,42.83,275,0.02,0.03,2026年 05月 21日 星期四 00:59:12 CST
5,2,4K,duet_dual,duet_dual(2097152/524288),3,1.820GB/s,43.92,275,0.02,0.03,2026年 05月 21日 星期四 01:00:12 CST
5,2,4K,duet_dual,duet_dual(2097152/262144),3,1.723GB/s,42.52,275,0.02,0.03,2026年 05月 21日 星期四 01:01:13 CST
6,2,16K,none,none,1,4.587GB/s,60.25,275,N/A,N/A,2026年 05月 21日 星期四 01:02:05 CST
6,2,16K,bfq,bfq,1,4.394GB/s,48.7,275,0.1,0.13,2026年 05月 21日 星期四 01:02:47 CST
