bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-1,none,12058995,39,12059034,11776,0,11776,1182,1663
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-1,bfq,11470641,39,11470680,11201,0,11201,1173,1466
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,11767753,39,11767792,11491,0,11491,283,354
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-2,none,12072498,39,12072537,11789,0,11789,1201,1434
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-2,bfq,11528116,39,11528155,11257,0,11257,1146,1434
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,11319150,39,11319189,11053,0,11053,241,383
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-3,none,12022262,39,12022301,11740,0,11740,1193,1434
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-3,bfq,11723080,39,11723119,11448,0,11448,1159,1434
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,11388640,39,11388679,11121,0,11121,240,391
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-1,none,12247262,38,12247300,11960,0,11960,3625,8847
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-1,bfq,11679077,39,11679116,11405,0,11405,2221,2769
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,10439456,39,10439495,10194,0,10194,268,510
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-2,none,12225971,38,12226009,11939,0,11939,3060,8028
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-2,bfq,11663959,39,11663998,11390,0,11390,2213,2736
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,10516982,39,10517021,10270,0,10270,283,494
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-3,none,12261731,38,12261769,11974,0,11974,2831,3523
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-3,bfq,11672655,39,11672694,11399,0,11399,2192,2769
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,10536940,39,10536979,10289,0,10290,285,485
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-1,none,623939,39,623978,609,0,609,61,80
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-1,bfq,628746,39,628785,614,0,614,55,78
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-1,bfq_limit,631100,39,631139,616,0,616,56,72
