配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,完成时间
6,2,4M,duet_same,duet_same(2097152),3,8.813GB/s,182.47,272,2025年 08月 08日 星期五 14:59:13 CST
6,2,4M,duet_same,duet_same(1048576),3,8.364GB/s,148.19,272,2025年 08月 08日 星期五 14:59:55 CST
6,2,4M,duet_dual,duet_dual(4194304/3145728),3,10.177GB/s,236.98,271,2025年 08月 08日 星期五 15:00:37 CST
6,2,4M,duet_dual,duet_dual(4194304/2097152),3,10.197GB/s,190.07,271,2025年 08月 08日 星期五 15:01:18 CST
6,2,4M,duet_dual,duet_dual(4194304/1048576),3,10.168GB/s,169.82,272,2025年 08月 08日 星期五 15:02:00 CST
7,4,4K,none,none,1,1.795GB/s,148.09,274,2025年 08月 08日 星期五 15:02:52 CST
7,4,4K,bfq,bfq,1,1.347GB/s,166.70,274,2025年 08月 08日 星期五 15:03:33 CST
7,4,4K,duet_same,duet_same(16777216),1,1.347GB/s,150.82,274,2025年 08月 08日 星期五 15:04:15 CST
7,4,4K,duet_same,duet_same(8388608),1,1.341GB/s,175.75,274,2025年 08月 08日 星期五 15:04:57 CST
7,4,4K,duet_same,duet_same(4194304),1,1.341GB/s,169.95,274,2025年 08月 08日 星期五 15:05:38 CST
7,4,4K,duet_same,duet_same(2097152),1,1.345GB/s,163.09,274,2025年 08月 08日 星期五 15:06:20 CST
7,4,4K,duet_same,duet_same(1048576),1,1.344GB/s,179.17,273,2025年 08月 08日 星期五 15:07:02 CST
7,4,4K,duet_dual,duet_dual(4194304/3145728),1,1.342GB/s,171.31,274,2025年 08月 08日 星期五 15:07:43 CST
7,4,4K,duet_dual,duet_dual(4194304/2097152),1,1.341GB/s,178.91,273,2025年 08月 08日 星期五 15:08:25 CST
7,4,4K,duet_dual,duet_dual(4194304/1048576),1,1.344GB/s,159.19,274,2025年 08月 08日 星期五 15:09:07 CST
7,4,4K,none,none,2,1.784GB/s,147.92,274,2025年 08月 08日 星期五 15:09:53 CST
7,4,4K,bfq,bfq,2,1.345GB/s,163.82,274,2025年 08月 08日 星期五 15:10:35 CST
7,4,4K,duet_same,duet_same(16777216),2,1.344GB/s,171.22,274,2025年 08月 08日 星期五 15:11:17 CST
7,4,4K,duet_same,duet_same(8388608),2,1.342GB/s,175.14,274,2025年 08月 08日 星期五 15:11:58 CST
7,4,4K,duet_same,duet_same(4194304),2,1.341GB/s,177.29,273,2025年 08月 08日 星期五 15:12:40 CST
7,4,4K,duet_same,duet_same(2097152),2,1.341GB/s,178.09,274,2025年 08月 08日 星期五 15:13:22 CST
