测试名称,总带宽(KB/s),值,总带宽(MB/s),值,平均单流带宽(KB/s),值,平均单流带宽(MB/s),值
bgonly_rw-read_bs-256k_iodepth-64_count-1_iter-1,总带宽(KB/s),14270967,总带宽(MB/s),13936,平均单流带宽(KB/s),14270967,平均单流带宽(MB/s),13936
bgonly_rw-read_bs-256k_iodepth-64_count-1_iter-2,总带宽(KB/s),14641025,总带宽(MB/s),14297,平均单流带宽(KB/s),14641025,平均单流带宽(MB/s),14297
bgonly_rw-read_bs-256k_iodepth-64_count-1_iter-3,总带宽(KB/s),14057475,总带宽(MB/s),13728,平均单流带宽(KB/s),14057475,平均单流带宽(MB/s),13728
bgonly_rw-read_bs-256k_iodepth-64_count-8_iter-1,总带宽(KB/s),11297418,总带宽(MB/s),11032,平均单流带宽(KB/s),1412177,平均单流带宽(MB/s),1379
bgonly_rw-read_bs-256k_iodepth-64_count-8_iter-2,总带宽(KB/s),11293222,总带宽(MB/s),11028,平均单流带宽(KB/s),1411652,平均单流带宽(MB/s),1378
bgonly_rw-read_bs-256k_iodepth-64_count-8_iter-3,总带宽(KB/s),11309111,总带宽(MB/s),11044,平均单流带宽(KB/s),1413638,平均单流带宽(MB/s),1380
bgonly_rw-read_bs-256k_iodepth-256_count-1_iter-1,总带宽(KB/s),14628305,总带宽(MB/s),14285,平均单流带宽(KB/s),14628305,平均单流带宽(MB/s),14285
bgonly_rw-read_bs-256k_iodepth-256_count-1_iter-2,总带宽(KB/s),14633441,总带宽(MB/s),14290,平均单流带宽(KB/s),14633441,平均单流带宽(MB/s),14290
bgonly_rw-read_bs-256k_iodepth-256_count-1_iter-3,总带宽(KB/s),14630216,总带宽(MB/s),14287,平均单流带宽(KB/s),14630216,平均单流带宽(MB/s),14287
bgonly_rw-read_bs-256k_iodepth-256_count-8_iter-1,总带宽(KB/s),11308052,总带宽(MB/s),11043,平均单流带宽(KB/s),1413506,平均单流带宽(MB/s),1380
bgonly_rw-read_bs-256k_iodepth-256_count-8_iter-2,总带宽(KB/s),11353114,总带宽(MB/s),11087,平均单流带宽(KB/s),1419139,平均单流带宽(MB/s),1385
bgonly_rw-read_bs-256k_iodepth-256_count-8_iter-3,总带宽(KB/s),11337687,总带宽(MB/s),11071,平均单流带宽(KB/s),1417210,平均单流带宽(MB/s),1383
bgonly_rw-read_bs-256k_iodepth-1024_count-1_iter-1,总带宽(KB/s),14613644,总带宽(MB/s),14271,平均单流带宽(KB/s),14613644,平均单流带宽(MB/s),14271
bgonly_rw-read_bs-256k_iodepth-1024_count-1_iter-2,总带宽(KB/s),14628756,总带宽(MB/s),14285,平均单流带宽(KB/s),14628756,平均单流带宽(MB/s),14285
bgonly_rw-read_bs-256k_iodepth-1024_count-1_iter-3,总带宽(KB/s),14623724,总带宽(MB/s),14280,平均单流带宽(KB/s),14623724,平均单流带宽(MB/s),14280
bgonly_rw-read_bs-256k_iodepth-1024_count-8_iter-1,总带宽(KB/s),11380202,总带宽(MB/s),11113,平均单流带宽(KB/s),1422525,平均单流带宽(MB/s),1389
bgonly_rw-read_bs-256k_iodepth-1024_count-8_iter-2,总带宽(KB/s),11396940,总带宽(MB/s),11129,平均单流带宽(KB/s),1424617,平均单流带宽(MB/s),1391
bgonly_rw-read_bs-256k_iodepth-1024_count-8_iter-3,总带宽(KB/s),11381369,总带宽(MB/s),11114,平均单流带宽(KB/s),1422671,平均单流带宽(MB/s),1389
bgonly_rw-read_bs-1M_iodepth-1_count-1_iter-1,总带宽(KB/s),10363417,总带宽(MB/s),10120,平均单流带宽(KB/s),10363417,平均单流带宽(MB/s),10120
bgonly_rw-read_bs-1M_iodepth-1_count-1_iter-2,总带宽(KB/s),10345191,总带宽(MB/s),10102,平均单流带宽(KB/s),10345191,平均单流带宽(MB/s),10102
bgonly_rw-read_bs-1M_iodepth-1_count-1_iter-3,总带宽(KB/s),10350789,总带宽(MB/s),10108,平均单流带宽(KB/s),10350789,平均单流带宽(MB/s),10108
bgonly_rw-read_bs-1M_iodepth-1_count-8_iter-1,总带宽(KB/s),14699492,总带宽(MB/s),14354,平均单流带宽(KB/s),1837436,平均单流带宽(MB/s),1794
bgonly_rw-read_bs-1M_iodepth-1_count-8_iter-2,总带宽(KB/s),14699832,总带宽(MB/s),14355,平均单流带宽(KB/s),1837479,平均单流带宽(MB/s),1794
